parts_unblocked,manufacturer,series,datasheet_url,example_parts
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL105R003.pdf,SL105R003
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL125R002.pdf,SL125R002
1,Vishay Ametherm,SL12,https://www.digikey.com/en/products/detail/vishay-ametherm/SL125R003/28716462,SL125R003
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL155R006.pdf,SL155R006
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL155R008-03.pdf,SL155R00803B
1,Vishay Ametherm,BigAMP,https://www.ametherm.com/datasheetspdf/SL325R020.pdf,SL325R020
1,Vishay Ametherm,BigAMP,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7182/570_SL325R020-B.pdf,SL325R020B
1,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL087R002.pdf,SL087R002A
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL157R004.pdf,SL157R004
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL157R005.pdf,SL157R005
1,Vishay Ametherm,SL18,https://www.ametherm.com/datasheetspdf/SL187R005.pdf,SL187R005
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL128R004.pdf,SL128R004
1,TDK,P13,https://product.tdk.cn/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/p13.pdf,B57213P0100M351
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS3210015.pdf,AS3210015
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS3510018.pdf,AS3510018
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3210015.pdf,MS3210015B
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3510018.pdf,MS3510018
1,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL0310001.pdf,SL0310001
1,Vishay Ametherm,SL05,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7181/570_SL05%2010001.pdf,SL0510001
1,Vishay Ametherm,SL05,https://www.ametherm.com/datasheetspdf/SL0510003.pdf,SL0510003
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1010002.pdf,SL1010002
1,Vishay Ametherm,SL10,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2229/SL10_10002_Rev_Nov2004.pdf,SL1010002B
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheets/sl1010003.html,SL1010003BT
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1010004.pdf,SL1010004
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1210006-03.pdf,SL121000603
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1510006.pdf,SL1510006
1,Vishay Ametherm,SL22,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5561/SL22%2010008-B_DS.pdf,SL2210008B
1,Vishay Ametherm,BigAMP,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5335/SL32_10015-B_Rev1_4-15-18.pdf,SL3210015B
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1212004.pdf,SL1212004
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1512004.pdf,SL1512004B
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3215012.pdf,MS3215012
1,Vishay Ametherm,MegaSurge™,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4166/MS32_15012-B_Rev1_5-24-22.pdf,MS3215012B
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1015002.pdf,SL1015002
1,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1015003.pdf,SL1015003
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1215003.pdf,SL1215003
